Player,Team,Position,Rk,Status,Opponent,FPts,FP/G,% Owned,+/-
Charlie Daniels,BOU,D,270,FA,MCI 3<br/>@BOU 1 F,0.8,0.8,0%,-1.1%
Ismaila Sarr,WAT,F,271,FA,WHU 3<br/>@WAT 1 F,0.75,0.75,42%,13.4%
Alexandre Lacazette,ARS,F,272,ColmL,ARS 1<br/>@LIV 3 F,0.5,0.5,100%,0.3%
Joao Cancelo,MCI,D,273,FA,MCI 3<br/>@BOU 1 F,0.5,0.5,67%,-7.9%
Ravel Morrison,SHU,M,274,FA,LEI 2<br/>@SHU 1 F,0.5,0.5,8%,5.4%
Marcos Alonso,CHE,D,275,FA,CHE 3<br/>@NOR 2 F,0.25,0.25,67%,14.1%
Aaron Lennon,BUR,M,276,FA,BUR 1<br/>@WOL 1 F,0.1,0.1,0%,-0.9%
Dele Alli,TOT,M,277,ColmL,NEW 1<br/>@TOT 0 F,0,0,100%,0.9%
Ben Chilwell,LEI,D,278,Eoghanoc,LEI 2<br/>@SHU 1 F,0,0,100%,1.1%
Tanguy Ndombele,TOT,M,279,Damo,NEW 1<br/>@TOT 0 F,0,0,100%,1.8%
Alisson,LIV,G,280,Damo,ARS 1<br/>@LIV 3 F,0,0,100%,3.1%
Gabriel Jesus,MCI,F,281,mcavinur,MCI 3<br/>@BOU 1 F,0,0,100%,2.5%
NGolo Kante,CHE,M,282,FA,CHE 3<br/>@NOR 2 F,0,0,92%,9.2%
Benjamin Mendy,MCI,D,283,MKFC,MCI 3<br/>@BOU 1 F,0,0,92%,11.1%
Wilfred Ndidi,LEI,M,284,ZKL,LEI 2<br/>@SHU 1 F,0,0,92%,-4.6%
Pedro,CHE,F,285,ZKL,CHE 3<br/>@NOR 2 F,0,0,92%,-1.5%
Troy Deeney,WAT,F,286,Eoghanoc,WHU 3<br/>@WAT 1 F,0,0,83%,10.2%
Callum Hudson-Odoi,CHE,F,287,mcavinur,CHE 3<br/>@NOR 2 F,0,0,75%,10.9%
John Stones,MCI,D,288,FA,MCI 3<br/>@BOU 1 F,0,0,75%,-12.1%
Mesut Ozil,ARS,M,289,Eoghanoc,ARS 1<br/>@LIV 3 F,0,0,75%,-8.9%
Joseph Gomez,LIV,D,290,FA,ARS 1<br/>@LIV 3 F,0,0,67%,1%
Sead Kolasinac,ARS,"D,M",291,FA,ARS 1<br/>@LIV 3 F,0,0,67%,9.3%
Antonio Rudiger,CHE,D,292,FA,CHE 3<br/>@NOR 2 F,0,0,67%,9.8%
